Name,date_of_birth,goals,outfielder_block,touches,goal_assist,appearances,clean_sheet,mins_played,yellow_card,red_card,total_pass,big_chance_missed,total_offside,total_tackle,fouls,dispossessed,total_clearance
Nathan Aké,1995-02-17,2.0,5.0,967.0,0.0,14.0,5.0,920.0,0.0,0.0,850.0,1.0,0.0,16.0,9.0,3.0,21.0
Trent Alexander-Arnold,1998-10-06,2.0,4.0,3107.0,12.0,32.0,17.0,2853.0,2.0,0.0,2155.0,0.0,11.0,40.0,12.0,19.0,33.0
Adam Armstrong,1997-02-09,2.0,1.0,531.0,2.0,23.0,2.0,1414.0,1.0,0.0,303.0,4.0,2.0,10.0,13.0,13.0,6.0
Stuart Armstrong,1992-03-29,2.0,1.0,1019.0,0.0,25.0,0.0,1468.0,1.0,0.0,698.0,2.0,1.0,27.0,11.0,27.0,13.0
Luke Ayling,1991-08-24,2.0,25.0,1964.0,2.0,26.0,2.0,2275.0,4.0,1.0,1418.0,0.0,2.0,74.0,22.0,10.0,50.0
Patrick Bamford,1993-09-04,2.0,2.0,189.0,2.0,9.0,0.0,559.0,2.0,0.0,104.0,2.0,5.0,1.0,5.0,3.0,8.0
Josh Brownhill,1995-12-18,2.0,12.0,1607.0,3.0,35.0,7.0,2953.0,10.0,0.0,1124.0,0.0,0.0,73.0,39.0,18.0,40.0
Daniel Podence,1995-10-20,2.0,1.0,905.0,3.0,26.0,2.0,1481.0,2.0,0.0,576.0,1.0,3.0,18.0,8.0,34.0,0.0
Jonny,1994-03-02,2.0,3.0,784.0,0.0,13.0,1.0,1022.0,1.0,0.0,507.0,0.0,0.0,25.0,10.0,20.0,8.0
Edinson Cavani,1987-02-13,2.0,0.0,314.0,1.0,15.0,0.0,764.0,0.0,0.0,230.0,6.0,6.0,4.0,7.0,4.0,5.0
Nathan Collins,2001-04-29,2.0,25.0,911.0,0.0,19.0,5.0,1669.0,2.0,1.0,630.0,2.0,4.0,37.0,20.0,4.0,81.0
Aaron Cresswell,1989-12-14,2.0,18.0,2361.0,3.0,31.0,7.0,2728.0,3.0,0.0,1709.0,0.0,2.0,28.0,14.0,4.0,64.0
Craig Dawson,1990-05-05,2.0,52.0,1632.0,2.0,34.0,5.0,2754.0,4.0,1.0,1276.0,2.0,1.0,29.0,39.0,5.0,138.0
Leander Dendoncker,1995-04-14,2.0,10.0,1059.0,2.0,30.0,4.0,1946.0,4.0,0.0,812.0,2.0,0.0,42.0,13.0,9.0,34.0
Matt Doherty,1992-01-15,2.0,2.0,666.0,4.0,15.0,2.0,874.0,0.0,0.0,452.0,3.0,0.0,18.0,11.0,6.0,19.0
Rúben Dias,1997-05-13,2.0,13.0,2497.0,4.0,29.0,12.0,2403.0,5.0,0.0,2267.0,3.0,2.0,26.0,27.0,3.0,65.0
Abdoulaye Doucouré,1992-12-31,2.0,8.0,1469.0,4.0,30.0,5.0,2538.0,6.0,0.0,1083.0,1.0,1.0,75.0,39.0,22.0,30.0
Anthony Elanga,2002-04-26,2.0,1.0,671.0,2.0,21.0,1.0,1214.0,0.0,0.0,413.0,3.0,3.0,26.0,8.0,15.0,5.0
Ryan Fraser,1994-02-23,2.0,1.0,631.0,3.0,27.0,2.0,1470.0,3.0,0.0,386.0,1.0,2.0,10.0,10.0,11.0,8.0
Joe Gelhardt,2002-05-03,2.0,0.0,326.0,2.0,20.0,0.0,738.0,4.0,0.0,160.0,3.0,5.0,4.0,17.0,19.0,3.0
Pascal Groß,1991-06-14,2.0,8.0,1578.0,4.0,29.0,6.0,2043.0,1.0,0.0,1111.0,2.0,4.0,28.0,15.0,15.0,21.0
Marc Guéhi,2000-07-12,2.0,26.0,2720.0,1.0,36.0,10.0,3223.0,4.0,0.0,2346.0,2.0,0.0,35.0,14.0,7.0,126.0
Jordan Henderson,1990-06-16,2.0,1.0,2491.0,5.0,35.0,9.0,2603.0,3.0,0.0,2157.0,1.0,3.0,36.0,23.0,12.0,11.0
Mason Holgate,1996-10-21,2.0,17.0,1124.0,1.0,25.0,5.0,2133.0,7.0,1.0,843.0,2.0,0.0,35.0,26.0,7.0,93.0
Pierre-Emile Højbjerg,1995-08-04,2.0,13.0,3059.0,2.0,36.0,14.0,3198.0,3.0,0.0,2531.0,2.0,0.0,78.0,28.0,22.0,52.0
Alex Iwobi,1996-05-02,2.0,3.0,1126.0,2.0,28.0,5.0,2037.0,1.0,0.0,696.0,3.0,3.0,40.0,16.0,27.0,25.0
N'Golo Kanté,1991-03-28,2.0,2.0,1628.0,4.0,26.0,6.0,1778.0,2.0,0.0,1292.0,3.0,0.0,59.0,22.0,28.0,8.0
Ezri Konsa,1997-10-22,2.0,22.0,1286.0,0.0,29.0,8.0,2481.0,4.0,2.0,1005.0,2.0,1.0,25.0,18.0,6.0,82.0
Mateo Kovacic,1994-05-05,2.0,4.0,1460.0,5.0,25.0,6.0,1556.0,4.0,0.0,1193.0,1.0,0.0,51.0,24.0,22.0,9.0
Aaron Lennon,1987-04-15,2.0,4.0,601.0,0.0,28.0,2.0,1548.0,2.0,0.0,336.0,0.0,4.0,33.0,19.0,13.0,8.0
Jesse Lingard,1992-12-14,2.0,0.0,210.0,0.0,16.0,0.0,356.0,1.0,0.0,145.0,0.0,1.0,9.0,5.0,5.0,1.0
Trincão,1999-12-28,2.0,1.0,762.0,1.0,28.0,0.0,1339.0,0.0,0.0,427.0,6.0,1.0,28.0,13.0,18.0,0.0
Enock Mwepu,1997-12-31,2.0,2.0,591.0,4.0,18.0,1.0,994.0,2.0,0.0,385.0,3.0,2.0,22.0,18.0,9.0,16.0
Michael Olise,2001-12-11,2.0,0.0,914.0,5.0,26.0,1.0,1137.0,4.0,0.0,547.0,0.0,1.0,22.0,16.0,21.0,6.0
Alex Oxlade-Chamberlain,1993-08-14,2.0,2.0,537.0,1.0,17.0,0.0,787.0,0.0,0.0,378.0,0.0,2.0,15.0,10.0,10.0,5.0
Thomas Partey,1993-06-12,2.0,4.0,1527.0,1.0,24.0,7.0,2032.0,5.0,0.0,1205.0,2.0,0.0,43.0,33.0,17.0,34.0
Ayoze Pérez,1993-07-28,2.0,1.0,260.0,3.0,14.0,0.0,442.0,0.0,1.0,150.0,1.0,0.0,4.0,6.0,12.0,4.0
